variant,condition,trials,semantic_success,completed_responses,timeouts,trials_with_tools,trials_with_shell,median_elapsed_seconds,median_input_tokens,median_cached_input_tokens,median_output_tokens,median_reasoning_tokens,median_trace_bytes
original,signal,40,22,31,9,11,11,40.478,13338.0,9984.0,1023.0,811.0,404.0
original,all_shuffled,40,0,25,15,23,22,640.3735,34407.0,24064.0,15559.0,14689.0,2755.0
lower,signal,40,18,40,0,11,11,72.5535,13790.0,9984.0,3465.5,2976.5,412.0
lower,all_shuffled,40,1,33,7,22,21,246.68900000000002,14694.0,12032.0,7707.0,7592.0,1297.0
nopunct,signal,40,22,38,2,14,14,68.7695,13670.0,11008.0,2942.5,2657.0,413.5
nopunct,all_shuffled,40,1,35,5,30,30,557.7015,324838.0,268544.0,24400.0,18601.0,41924.0
lower_nopunct,signal,40,18,40,0,9,9,45.201499999999996,13670.0,12032.0,2106.5,2085.5,411.5
lower_nopunct,all_shuffled,40,0,37,3,25,23,243.007,70063.0,60416.0,8225.0,8075.0,3211.0
