studies,image,role,source
"Experiments 1C, 2, 3, 4A",sha256:883e4d8d659d28c25d2473c0dec9ff43d1bafb7ce3920ada270627df3c202402,hardened Docker Codex subject,experiment-3/frozen-references.json
"Experiments 4C, 4C.1, 5, 6",sha256:e04e78a7926fc489536fe595073b58888238bc4107a6fd5281047432031627da,audited clean no-tool Docker subject,experiment-4/context-audit/clean-build/build-manifest.json
