condition,lanes,trials,completed_responses,nonresponses,exact_success,exact_rate,exact_ci_low,exact_ci_high,semantic_success,semantic_rate,semantic_ci_low,semantic_ci_high,encoding_discovered,encoding_rate,encoding_ci_low,encoding_ci_high
all_shuffled,1,10,7,3,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
all_shuffled,2,10,8,2,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892
all_shuffled,4,10,6,4,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,1,0.1,0.017876213095072896,0.4041500267952385
all_shuffled,8,10,9,1,1,0.1,0.017876213095072896,0.4041500267952385,3,0.3,0.10779126740630099,0.6032218525388546,2,0.2,0.05668215145437519,0.5098375284633583
signal,1,10,10,0,8,0.8,0.49016247153664183,0.9433178485456247,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892
signal,2,10,10,0,4,0.4,0.16818032970623614,0.6873262302663417,7,0.7,0.39677814746114537,0.8922087325936989,0,0.0,0.0,0.2775327998628892
signal,4,10,9,1,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0,0.0,0.2775327998628892
signal,8,10,9,1,2,0.2,0.05668215145437519,0.5098375284633583,2,0.2,0.05668215145437519,0.5098375284633583,0,0.0,0.0,0.2775327998628892
