model,reasoning,carrier,individual_success,individual_trials,individual_rate,individual_ci_low,individual_ci_high,paired_success,pairs,paired_rate,paired_ci_low,paired_ci_high
gpt-5.6-sol,medium,fixed,25,40,0.625,0.47032439137301096,0.7577702083276673,10,20,0.5,0.2992980081982123,0.7007019918017877
gpt-5.6-sol,medium,jitter,30,40,0.75,0.5980603857923197,0.858128813609037,12,20,0.6,0.3865815007622531,0.781193467627183
gpt-5.6-sol,medium,uniform,30,40,0.75,0.5980603857923197,0.858128813609037,13,20,0.65,0.43285427668523624,0.818808175898918
gpt-5.6-terra,xhigh,fixed,13,40,0.325,0.200845022317827,0.47982253810122333,2,20,0.1,0.027866481213768224,0.3010336452284873
gpt-5.6-terra,xhigh,jitter,19,40,0.475,0.329354701126789,0.6250263789330753,6,20,0.3,0.1454772448676043,0.5189728183535235
gpt-5.6-terra,xhigh,uniform,16,40,0.4,0.2634832568429192,0.5540410633965381,5,20,0.25,0.11186170140766569,0.468700877618744
